tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-201.079,12.25,,,,,38.289,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.926,12.25,,,,,38.517,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.774,12.25,,,,,38.256,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.622,12.25,,,,,36.426,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.46900000000002,12.25,,,,,35.054,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.317,12.25,,,,,33.748000000000005,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.164,12.25,,,,,34.336,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-200.01200000000003,12.25,,,,,35.61,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.86,12.25,,,,,36.26300000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.707,12.25,,,,,36.459,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.555,12.25,,,,,36.557,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.402,12.25,,,,,40.608,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.25,12.25,,,,,42.176,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-199.09799999999998,12.25,,,,,40.347,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.945,12.25,,,,,39.824,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.793,12.25,,,,,39.301,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.64,12.25,,,,,40.445,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.488,12.25,,,,,36.26300000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.33599999999998,12.25,,,,,37.537,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.183,12.25,,,,,36.81800000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-198.03099999999998,12.25,,,,,38.125,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.878,12.25,,,,,38.811,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.726,12.25,,,,,39.857,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.574,12.25,,,,,37.831,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.421,12.25,,,,,35.61,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.269,12.25,,,,,29.86,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-197.11599999999999,12.25,,,,,31.91800000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.96400000000003,12.25,,,,,35.577,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.812,12.25,,,,,41.0,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.65900000000002,12.25,,,,,37.57,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.507,12.25,,,,,35.479,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.354,12.25,,,,,32.277,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.20200000000003,12.25,,,,,36.459,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-196.05,12.25,,,,,34.368,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.897,12.25,,,,,33.225,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.745,12.25,,,,,30.611,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.592,12.25,,,,,31.754,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.44,12.25,,,,,33.813,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.28799999999998,12.25,,,,,37.21,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-195.135,12.25,,,,,34.695,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.983,12.25,,,,,34.695,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.83,12.25,,,,,32.702,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.678,12.25,,,,,36.165,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.52599999999998,12.25,,,,,33.551,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.373,12.25,,,,,36.296,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.22099999999998,12.25,,,,,35.251,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-194.068,12.25,,,,,36.492,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.916,12.25,,,,,34.172,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.764,12.25,,,,,34.27,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.611,12.25,,,,,36.688,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.459,12.25,,,,,39.236,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.30599999999998,12.25,,,,,41.228,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.15400000000002,12.25,,,,,41.49,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-193.002,12.25,,,,,39.432,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.84900000000002,12.25,,,,,40.216,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.697,12.25,,,,,40.51,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.544,12.25,,,,,43.418,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.392,12.25,,,,,46.815,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.24,12.25,,,,,47.73,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-192.08700000000002,12.25,,,,,47.73,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.935,12.25,,,,,43.025,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.782,12.25,,,,,44.169,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.63,12.25,,,,,41.033,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.47799999999998,12.25,,,,,44.594,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.325,12.25,,,,,48.514,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.173,12.25,,,,,53.74100000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-191.02,12.25,,,,,51.226000000000006,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.868,12.25,,,,,45.476000000000006,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.71599999999998,12.25,,,,,43.45,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.563,12.25,,,,,43.45,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.41099999999997,12.25,,,,,41.621,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.258,12.25,,,,,39.465,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-190.106,12.25,,,,,40.608,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.954,12.25,,,,,41.653,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.801,12.25,,,,,41.13,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.649,12.25,,,,,38.844,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.49599999999998,12.25,,,,,43.548,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.34400000000002,12.25,,,,,46.945,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.192,12.25,,,,,48.31800000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-189.03900000000002,12.25,,,,,44.92,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.887,12.25,,,,,42.82899999999999,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.734,12.25,,,,,44.169,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.582,12.25,,,,,43.385,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.43,12.25,,,,,46.13,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.277,12.25,,,,,45.607,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-188.125,12.25,,,,,48.383,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.972,12.25,,,,,45.639,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.82,12.25,,,,,44.855,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.668,12.25,,,,,45.084,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.515,12.25,,,,,43.254,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.363,12.25,,,,,42.47,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.21,12.25,,,,,37.668,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-187.058,12.25,,,,,36.62300000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.90599999999998,12.25,,,,,35.54400000000001,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.753,12.25,,,,,37.08,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.601,12.25,,,,,35.773,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.448,12.25,,,,,35.316,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.296,12.25,,,,,32.702,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-186.144,12.25,,,,,33.225,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.991,12.25,,,,,30.317,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.83900000000003,12.25,,,,,33.681999999999995,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.68599999999998,12.25,,,,,37.603,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.53400000000002,12.25,,,,,43.091,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.382,12.25,,,,,43.385,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.229,12.25,,,,,41.98,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-185.077,12.25,,,,,38.844,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.924,12.25,,,,,37.014,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.77200000000002,12.25,,,,,33.192,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.62,12.25,,,,,33.29,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.467,12.25,,,,,32.245,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.315,12.25,,,,,33.813,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.162,12.25,,,,,33.976,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-184.01,12.25,,,,,36.557,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.858,12.25,,,,,40.477,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.705,12.25,,,,,38.909,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.553,12.25,,,,,38.942,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.4,12.25,,,,,38.419,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.248,12.25,,,,,39.203,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-183.09599999999998,12.25,,,,,40.249,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.943,12.25,,,,,38.158,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.791,12.25,,,,,39.007,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.638,12.25,,,,,39.53,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.486,12.25,,,,,40.053,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.334,12.25,,,,,41.032,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.18099999999998,12.25,,,,,38.517,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-182.02900000000002,12.25,,,,,36.949,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
-181.87599999999998,12.25,,,,,32.767,,,,,,,Egmont Volcanics,cheal-c4,,,,,,,
